SKU,Description,MSRP,BRONZE_Price,SILVER_Price,GOLD_Price,PLATINUM_Price
76401611,,215.0,157.0,142.0,128.0,128.0
76401603,,215.0,157.0,142.0,128.0,128.0
76401615,,215.0,157.0,142.0,128.0,128.0
76401602,,215.0,157.0,142.0,128.0,128.0
75301518,,69.0,44.0,39.5,35.0,35.0
75301514,,69.0,44.0,39.5,35.0,35.0
75301504,,69.0,44.0,39.5,35.0,35.0
75301501,,69.0,44.0,39.5,35.0,35.0
75301507,,69.0,44.0,39.5,35.0,35.0
75301512,,69.0,44.0,39.5,35.0,35.0
75301508,,69.0,44.0,39.5,35.0,35.0
75301509,,69.0,44.0,39.5,35.0,35.0
75301511,,69.0,44.0,39.5,35.0,35.0
75301503,,69.0,44.0,39.5,35.0,35.0
75301515,,69.0,44.0,39.5,35.0,35.0
75301502,,69.0,44.0,39.5,35.0,35.0
76401506,,215.0,157.0,142.0,128.0,128.0
76401518,,215.0,157.0,142.0,128.0,128.0
76401514,,215.0,157.0,142.0,128.0,128.0
76401504,,215.0,146.5,132.0,117.5,117.5
76401501,,215.0,157.0,142.0,128.0,128.0
76401507,,215.0,157.0,142.0,128.0,128.0
76401512,,215.0,146.5,132.0,117.5,117.5
76401508,,215.0,157.0,142.0,128.0,128.0
76401509,,215.0,146.5,132.0,117.5,117.5
76401511,,215.0,146.5,132.0,117.5,117.5
76401503,,215.0,146.5,132.0,117.5,117.5
76401515,,215.0,157.0,142.0,128.0,128.0
76401502,,215.0,157.0,142.0,128.0,128.0
75301318,,69.0,44.0,39.5,35.0,35.0
75301314,,69.0,44.0,39.5,35.0,35.0
75301304,,69.0,44.0,39.5,35.0,35.0
75301301,,69.0,44.0,39.5,35.0,35.0
75301307,,69.0,44.0,39.5,35.0,35.0
75301312,,69.0,44.0,39.5,35.0,35.0
75301308,,69.0,44.0,39.5,35.0,35.0
75301309,,69.0,44.0,39.5,35.0,35.0
75301311,,69.0,44.0,39.5,35.0,35.0
75301303,,69.0,44.0,39.5,35.0,35.0
75301315,,69.0,44.0,39.5,35.0,35.0
75301302,,69.0,44.0,39.5,35.0,35.0
76401306,,215.0,157.0,142.0,128.0,128.0
76401318,,215.0,157.0,142.0,128.0,128.0
76401314,,215.0,157.0,142.0,128.0,128.0
76401304,,215.0,157.0,142.0,128.0,128.0
76401301,,215.0,157.0,142.0,128.0,128.0
76401307,,215.0,157.0,142.0,128.0,128.0
76401312,,215.0,157.0,142.0,128.0,128.0
76401308,,215.0,157.0,142.0,128.0,128.0
76401309,,215.0,157.0,142.0,128.0,128.0
76401311,,215.0,157.0,142.0,128.0,128.0
76401303,,215.0,157.0,142.0,128.0,128.0
76401315,,215.0,157.0,142.0,128.0,128.0
76401302,,215.0,157.0,142.0,128.0,128.0
14603003,,4.0,,,,
14603006,,4.0,10.0,9.0,8.0,8.0
14603008,,4.0,10.0,9.0,8.0,8.0
14603015,,4.0,10.0,9.0,8.0,8.0
14703002,,4.0,9.0,8.0,7.0,7.0
14703003,,4.0,9.0,8.0,7.0,7.0
14703006,,4.0,9.0,8.0,7.0,7.0
14703008,,4.0,9.0,8.0,7.0,7.0
14703015,,4.0,9.0,8.0,7.0,7.0
75301718,,69.0,44.0,39.5,35.0,35.0
75301714,,69.0,44.0,39.5,35.0,35.0
75301704,,69.0,44.0,39.5,35.0,35.0
75301701,,69.0,44.0,39.5,35.0,35.0
75301707,,69.0,44.0,39.5,35.0,35.0
75301712,,69.0,44.0,39.5,35.0,35.0
75301708,,69.0,44.0,39.5,35.0,35.0
75301709,,69.0,44.0,39.5,35.0,35.0
75301711,,69.0,44.0,39.5,35.0,35.0
75301703,,69.0,44.0,39.5,35.0,35.0
75301715,,69.0,44.0,39.5,35.0,35.0
75301702,,69.0,44.0,39.5,35.0,35.0
76401706,,215.0,157.0,142.0,128.0,128.0
76401718,,215.0,157.0,142.0,128.0,128.0
76401714,,215.0,157.0,142.0,128.0,128.0
76401704,,215.0,157.0,142.0,128.0,128.0
76401701,,215.0,157.0,142.0,128.0,128.0
76401707,,215.0,157.0,142.0,128.0,128.0
76401712,,215.0,157.0,142.0,128.0,128.0
76401708,,215.0,157.0,142.0,128.0,128.0
76401709,,215.0,157.0,142.0,128.0,128.0
76401711,,215.0,157.0,142.0,128.0,128.0
76401703,,215.0,157.0,142.0,128.0,128.0
76401715,,215.0,157.0,142.0,128.0,128.0
76401702,,215.0,157.0,142.0,128.0,128.0
01-20427-002,,21.0,16.5,15.0,13.5,13.5
01-20427-000,,21.0,16.5,15.0,13.5,13.5
1519048,,42.0,30.5,27.5,24.5,24.5
1519049,,42.0,30.5,22.5,20.0,20.0
1519050,,42.0,30.5,27.5,24.5,24.5
1519051,,42.0,30.5,27.5,24.5,24.5
144015390,,22.99,15.5,14.5,13.0,13.0
144015490,,22.99,15.5,14.5,13.0,13.0
144015590,,22.99,15.5,14.5,13.0,13.0
144015690,,22.99,15.5,14.5,13.0,13.0
14-20434,,24.99,16.5,15.5,14.0,14.0
14-20435,,24.99,16.5,15.5,14.0,14.0
14-20436,,24.99,16.5,15.5,14.0,14.0
14-20437,,24.99,16.5,15.5,14.0,14.0
14-20438,,24.99,16.5,15.5,14.0,14.0
144005590,,11.0,10.0,9.5,8.5,8.5
144005690,,11.0,10.0,9.5,8.5,8.5
144005790,,11.0,10.0,9.5,8.5,8.5
144005890,,11.0,10.0,9.5,8.5,8.5
144003990,,19.0,16.0,15.0,13.5,13.5
144004090,,19.0,16.0,15.0,13.5,13.5
144004190,,19.0,16.0,15.0,13.5,13.5
144004290,,19.0,16.0,15.0,13.5,13.5
61333003,,65.0,180.0,180.0,180.0,165.0
61343103,,65.0,180.0,180.0,180.0,165.0
62333003,,100.0,240.0,240.0,240.0,220.0
62343103,,100.0,240.0,240.0,240.0,220.0
64291910,,55.0,168.0,168.0,168.0,154.0
64302010,,55.0,168.0,168.0,168.0,154.0
64312110,,55.0,168.0,168.0,168.0,154.0
66312011,,449.99,,,,
66322111,,449.99,,,,
66332211,,449.99,,,,
34100023M08,,69.99,35.0,35.0,35.0,31.0
34100023M03,,69.99,35.0,35.0,35.0,31.0
34100023M05,,69.99,35.0,35.0,35.0,31.0
34100023M02,,69.99,35.0,35.0,35.0,31.0
34100034M06,,69.99,35.0,35.0,35.0,31.0
34100034M01,,69.99,35.0,35.0,35.0,31.0
34100034M08,,69.99,35.0,35.0,35.0,31.0
34100034M03,,69.99,35.0,35.0,35.0,31.0
34100034M05,,69.99,35.0,35.0,35.0,31.0
34100034M02,,69.99,35.0,35.0,35.0,31.0
34100034H06,,69.99,35.0,35.0,35.0,31.0
34100034H02,,69.99,35.0,35.0,35.0,31.0
34100056M06,,69.99,35.0,35.0,35.0,31.0
34100056M01,,69.99,35.0,35.0,35.0,31.0
34100056M08,,69.99,35.0,35.0,35.0,31.0
34100056M03,,69.99,35.0,35.0,35.0,31.0
34100056M05,,69.99,35.0,35.0,35.0,31.0
34100056M02,,69.99,35.0,35.0,35.0,31.0
34100056H06,,69.99,35.0,35.0,35.0,31.0
34100056H02,,69.99,35.0,35.0,35.0,31.0
34100023M03106,,25.0,40.0,40.0,40.0,36.0
34100023M05106,,25.0,40.0,40.0,40.0,36.0
34100023M08106,,25.0,40.0,40.0,40.0,36.0
34100034H02106,,25.0,40.0,40.0,40.0,36.0
34100034H06106,,25.0,40.0,40.0,40.0,36.0
34100034M01106,,25.0,40.0,40.0,40.0,36.0
34100034M02106,,25.0,40.0,40.0,40.0,36.0
34100034M05106,,25.0,40.0,40.0,40.0,36.0
34100034M06106,,25.0,40.0,40.0,40.0,36.0
34100034M08106,,25.0,40.0,40.0,40.0,36.0
34100056H06106,,25.0,40.0,40.0,40.0,36.0
34100056M01106,,25.0,40.0,40.0,40.0,36.0
34100056M02106,,25.0,40.0,40.0,40.0,36.0
34100056M03106,,25.0,40.0,40.0,40.0,36.0
34100056M05106,,25.0,40.0,40.0,40.0,36.0
34100056M06106,,25.0,40.0,40.0,40.0,36.0
34100056M08106,,25.0,40.0,40.0,40.0,36.0
12520560291,,25.0,,,,
12520560691,,25.0,,,,
125103406,,24.0,,,,
125105602,,29.0,,,,
125105606,,28.0,,,,
125113402,,28.0,,,,
125113406,,27.0,,,,
125115602,,29.0,,,,
125115606,,28.0,,,,
125203406,,18.0,,,,
125205602,,18.0,,,,
125205606,,18.0,,,,
63312605,,55.0,168.0,168.0,168.0,154.0
63322705,,55.0,168.0,168.0,168.0,154.0
66312110,,449.99,,,,
66322210,,449.99,,,,
66332310,,449.99,,,,
66342410,,449.99,,,,
66332409,,449.99,,,,
66342509,,449.99,,,,
193025002302,,779.99,605.0,547.5,490.0,440.0
193025006206,,779.99,605.0,547.5,490.0,440.0
193025006306,,779.99,605.0,547.5,490.0,440.0
193026002202,,779.99,615.0,557.5,500.0,450.0
193026002302,,779.99,615.0,557.5,500.0,450.0
193026006206,,779.99,615.0,557.5,500.0,450.0
193026006306,,779.99,615.0,557.5,500.0,450.0
208800XX-209000XX-2,,0.0,,,,
208800XX-209000XX-3,,0.0,,,,
208800XX-209000XX-4,,0.0,,,,
208800XX-209000XX-5,,0.0,,,,
208800XX-209000XX-6,,0.0,,,,
208800XX-209000XX-7,,0.0,,,,
208800XX-209000XX-8,,0.0,,,,
208800XX-209000XX-9,,0.0,,,,
208800XX-209000XX-10,,0.0,,,,
23302118,,85.0,65.5,60.0,54.5,54.5
23302114,,85.0,65.5,60.0,54.5,54.5
23302104,,85.0,65.5,60.0,54.5,54.5
23302101,,85.0,65.5,60.0,54.5,54.5
23302107,,85.0,65.5,60.0,54.5,54.5
23302112,,85.0,65.5,60.0,54.5,54.5
23302108,,85.0,65.5,60.0,54.5,54.5
23302109,,85.0,65.5,60.0,54.5,54.5
23302111,,85.0,65.5,60.0,54.5,54.5
23302103,,85.0,65.5,60.0,54.5,54.5
23302115,,85.0,65.5,60.0,54.5,54.5
23302102,,85.0,65.5,60.0,54.5,54.5
24302206,,215.0,157.0,142.0,128.0,128.0
24302218,,215.0,157.0,142.0,128.0,128.0
24302214,,215.0,157.0,142.0,128.0,128.0
24302204,,215.0,157.0,142.0,128.0,128.0
24302201,,215.0,157.0,142.0,128.0,128.0
24302207,,215.0,157.0,142.0,128.0,128.0
24302212,,215.0,157.0,142.0,128.0,128.0
24302208,,215.0,157.0,142.0,128.0,128.0
24302209,,215.0,157.0,142.0,128.0,128.0
24302211,,215.0,157.0,142.0,128.0,128.0
24302203,,215.0,157.0,142.0,128.0,128.0
24302215,,215.0,157.0,142.0,128.0,128.0
24302202,,215.0,157.0,142.0,128.0,128.0
19226-006,,149.99,110.0,99.0,88.5,88.5
19227-006,,149.99,110.0,99.0,88.5,88.5
19228-006,,149.99,110.0,99.0,88.5,88.5
1910518,,140.0,97.5,89.0,80.5,80.5
1910514,,140.0,97.5,89.0,80.5,80.5
1910504,,140.0,97.5,89.0,80.5,80.5
1910501,,140.0,97.5,89.0,80.5,80.5
1910507,,140.0,97.5,89.0,80.5,80.5
1910512,,140.0,97.5,89.0,80.5,80.5
1910508,,140.0,97.5,89.0,80.5,80.5
1910509,,140.0,97.5,89.0,80.5,80.5
1910511,,140.0,97.5,89.0,80.5,80.5
1910503,,140.0,97.5,89.0,80.5,80.5
1910515,,140.0,97.5,89.0,80.5,80.5
1910502,,140.0,97.5,89.0,80.5,80.5
1907206,,265.0,177.5,161.0,145.0,145.0
1907218,,265.0,177.5,161.0,145.0,145.0
1907214,,265.0,177.5,161.0,145.0,145.0
1907204,,265.0,177.5,161.0,145.0,145.0
1907201,,265.0,177.5,161.0,145.0,145.0
1907207,,265.0,177.5,161.0,145.0,145.0
1907212,,265.0,177.5,161.0,145.0,145.0
1907208,,265.0,177.5,161.0,145.0,145.0
1907209,,265.0,177.5,161.0,145.0,145.0
1907211,,265.0,177.5,161.0,145.0,145.0
1907203,,265.0,177.5,161.0,145.0,145.0
1907215,,265.0,177.5,161.0,145.0,145.0
1907202,,265.0,177.5,161.0,145.0,145.0
1910618,,140.0,97.5,89.0,80.5,80.5
1910614,,140.0,97.5,89.0,80.5,80.5
1910604,,140.0,97.5,89.0,80.5,80.5
1910601,,140.0,97.5,89.0,80.5,80.5
1910607,,140.0,97.5,89.0,80.5,80.5
1910612,,140.0,97.5,89.0,80.5,80.5
1910608,,140.0,97.5,89.0,80.5,80.5
1910609,,140.0,97.5,89.0,80.5,80.5
1910611,,140.0,97.5,89.0,80.5,80.5
1910603,,140.0,97.5,89.0,80.5,80.5
1910615,,140.0,97.5,89.0,80.5,80.5
1910602,,140.0,97.5,89.0,80.5,80.5
1907306,,265.0,177.5,161.0,145.0,145.0
1907318,,265.0,177.5,161.0,145.0,145.0
1907314,,265.0,177.5,161.0,145.0,145.0
1907304,,265.0,177.5,161.0,145.0,145.0
1907301,,265.0,177.5,161.0,145.0,145.0
1907307,,265.0,177.5,161.0,145.0,145.0
1907312,,265.0,177.5,161.0,145.0,145.0
1907308,,265.0,177.5,161.0,145.0,145.0
1907309,,265.0,177.5,161.0,145.0,145.0
1907311,,265.0,177.5,161.0,145.0,145.0
1907303,,265.0,177.5,161.0,145.0,145.0
1907315,,265.0,177.5,161.0,145.0,145.0
1907302,,265.0,177.5,161.0,145.0,145.0
1911118,,140.0,97.5,89.0,80.5,80.5
1911114,,140.0,97.5,89.0,80.5,80.5
1911104,,140.0,97.5,89.0,80.5,80.5
1911101,,140.0,97.5,89.0,80.5,80.5
1911107,,140.0,97.5,89.0,80.5,80.5
1911112,,140.0,97.5,89.0,80.5,80.5
1911108,,140.0,97.5,89.0,80.5,80.5
1911109,,140.0,97.5,89.0,80.5,80.5
1911111,,140.0,97.5,89.0,80.5,80.5
1911103,,140.0,97.5,89.0,80.5,80.5
1911115,,140.0,97.5,89.0,80.5,80.5
1911102,,140.0,97.5,89.0,80.5,80.5
1907506,,265.0,177.5,161.0,145.0,145.0
1907518,,265.0,177.5,161.0,145.0,145.0
1907514,,265.0,177.5,161.0,145.0,145.0
1907504,,265.0,177.5,161.0,145.0,145.0
1907501,,265.0,177.5,161.0,145.0,145.0
1907507,,265.0,177.5,161.0,145.0,145.0
1907512,,265.0,177.5,161.0,145.0,145.0
1907508,,265.0,177.5,161.0,145.0,145.0
1907509,,265.0,177.5,161.0,145.0,145.0
1907511,,265.0,177.5,161.0,145.0,145.0
1907503,,265.0,177.5,161.0,145.0,145.0
1907515,,265.0,177.5,161.0,145.0,145.0
1907502,,265.0,177.5,161.0,145.0,145.0
1911018,,140.0,97.5,89.0,80.5,80.5
1911014,,140.0,97.5,89.0,80.5,80.5
1911004,,140.0,97.5,89.0,80.5,80.5
1911001,,140.0,97.5,89.0,80.5,80.5
1911007,,140.0,97.5,89.0,80.5,80.5
1911012,,140.0,97.5,89.0,80.5,80.5
1911008,,140.0,97.5,89.0,80.5,80.5
1911009,,140.0,97.5,89.0,80.5,80.5
1911011,,140.0,97.5,89.0,80.5,80.5
1911003,,140.0,97.5,89.0,80.5,80.5
1911015,,140.0,97.5,89.0,80.5,80.5
1911002,,140.0,97.5,89.0,80.5,80.5
1907406,,265.0,177.5,161.0,145.0,145.0
1907418,,265.0,177.5,161.0,145.0,145.0
1907414,,265.0,177.5,161.0,145.0,145.0
1907404,,265.0,177.5,161.0,145.0,145.0
1907401,,265.0,177.5,161.0,145.0,145.0
1907407,,265.0,177.5,161.0,145.0,145.0
1907412,,265.0,177.5,161.0,145.0,145.0
1907408,,265.0,177.5,161.0,145.0,145.0
1907409,,265.0,177.5,161.0,145.0,145.0
1907411,,265.0,177.5,161.0,145.0,145.0
1907403,,265.0,177.5,161.0,145.0,145.0
1907415,,265.0,177.5,161.0,145.0,145.0
1907402,,265.0,177.5,161.0,145.0,145.0
1907618,,140.0,177.5,161.0,145.0,145.0
1907614,,140.0,177.5,161.0,145.0,145.0
1907604,,140.0,177.5,161.0,145.0,145.0
1907601,,140.0,177.5,161.0,145.0,145.0
1907607,,140.0,177.5,161.0,145.0,145.0
1907612,,140.0,177.5,161.0,145.0,145.0
1907608,,140.0,177.5,161.0,145.0,145.0
1907609,,140.0,177.5,161.0,145.0,145.0
1907611,,140.0,177.5,161.0,145.0,145.0
1907603,,140.0,177.5,161.0,145.0,145.0
1907615,,140.0,177.5,161.0,145.0,145.0
1907602,,140.0,177.5,161.0,145.0,145.0
1911206,,265.0,97.5,89.0,80.5,80.5
1911218,,265.0,97.5,89.0,80.5,80.5
1911214,,265.0,97.5,89.0,80.5,80.5
1911204,,265.0,97.5,89.0,80.5,80.5
1911201,,265.0,97.5,89.0,80.5,80.5
1911207,,265.0,97.5,89.0,80.5,80.5
1911212,,265.0,97.5,89.0,80.5,80.5
1911208,,265.0,97.5,89.0,80.5,80.5
1911209,,265.0,97.5,89.0,80.5,80.5
1911211,,265.0,97.5,89.0,80.5,80.5
1911203,,265.0,97.5,89.0,80.5,80.5
1911215,,265.0,97.5,89.0,80.5,80.5
1911202,,265.0,97.5,89.0,80.5,80.5
1911518,,140.0,97.5,89.0,80.5,80.5
1911514,,140.0,97.5,89.0,80.5,80.5
1911504,,140.0,97.5,89.0,80.5,80.5
1911501,,140.0,97.5,89.0,80.5,80.5
1911507,,140.0,97.5,89.0,80.5,80.5
1911512,,140.0,97.5,89.0,80.5,80.5
1911508,,140.0,97.5,89.0,80.5,80.5
1911509,,140.0,97.5,89.0,80.5,80.5
1911511,,140.0,97.5,89.0,80.5,80.5
1911503,,140.0,97.5,89.0,80.5,80.5
1911515,,140.0,97.5,89.0,80.5,80.5
1911502,,140.0,97.5,89.0,80.5,80.5
1907906,,265.0,177.5,161.0,145.0,145.0
1907918,,265.0,177.5,161.0,145.0,145.0
1907914,,265.0,177.5,161.0,145.0,145.0
1907904,,265.0,177.5,161.0,145.0,145.0
1907901,,265.0,177.5,161.0,145.0,145.0
1907907,,265.0,177.5,161.0,145.0,145.0
1907912,,265.0,177.5,161.0,145.0,145.0
1907908,,265.0,177.5,161.0,145.0,145.0
1907909,,265.0,177.5,161.0,145.0,145.0
1907911,,265.0,177.5,161.0,145.0,145.0
1907903,,265.0,177.5,161.0,145.0,145.0
1907915,,265.0,177.5,161.0,145.0,145.0
1907902,,265.0,177.5,161.0,145.0,145.0
1908018,,265.0,177.5,161.0,145.0,145.0
1908014,,265.0,177.5,161.0,145.0,145.0
1908004,,265.0,177.5,161.0,145.0,145.0
1908001,,265.0,177.5,161.0,145.0,145.0
1908007,,265.0,177.5,161.0,145.0,145.0
1908012,,265.0,177.5,161.0,145.0,145.0
1908008,,265.0,177.5,161.0,145.0,145.0
1908009,,265.0,177.5,161.0,145.0,145.0
1908011,,265.0,177.5,161.0,145.0,145.0
1908003,,265.0,177.5,161.0,145.0,145.0
1908015,,265.0,177.5,161.0,145.0,145.0
1908002,,265.0,177.5,161.0,145.0,145.0
75300218,,72.0,53.5,48.5,43.0,43.0
75300214,,72.0,53.5,48.5,43.0,43.0
75300204,,72.0,53.5,48.5,43.0,43.0
75300201,,72.0,53.5,48.5,43.0,43.0
75300207,,72.0,53.5,48.5,43.0,43.0
75300212,,72.0,53.5,48.5,43.0,43.0
75300208,,72.0,53.5,48.5,43.0,43.0
75300209,,72.0,53.5,48.5,43.0,43.0
75300211,,72.0,41.5,37.5,33.0,33.0
75300203,,72.0,53.5,48.5,43.0,43.0
75300215,,72.0,53.5,48.5,43.0,43.0
75300202,,72.0,53.5,48.5,43.0,43.0
75310218,,72.0,53.5,48.5,43.0,43.0
75310214,,72.0,53.5,48.5,43.0,43.0
75310204,,72.0,53.5,48.5,43.0,43.0
75310201,,72.0,53.5,48.5,43.0,43.0
75310207,,72.0,53.5,48.5,43.0,43.0
75310212,,72.0,53.5,48.5,43.0,43.0
75310208,,72.0,53.5,48.5,43.0,43.0
75310209,,72.0,53.5,48.5,43.0,43.0
75310211,,72.0,53.5,48.5,43.0,43.0
75310203,,72.0,53.5,48.5,43.0,43.0
75310215,,72.0,53.5,48.5,43.0,43.0
75310202,,72.0,53.5,48.5,43.0,43.0
75300918,,72.0,53.5,48.5,43.0,43.0
75300914,,72.0,53.5,48.5,43.0,43.0
75300904,,72.0,53.5,48.5,43.0,43.0
75300901,,72.0,53.5,48.5,43.0,43.0
